"date","aqs","pm25","o3"
2024-01-22 02:00:00,"Pinheiros",0,34
2024-01-22 03:00:00,"Pinheiros",8,25
2024-01-22 04:00:00,"Pinheiros",5,20
2024-01-22 05:00:00,"Pinheiros",2,16
2024-01-22 06:00:00,"Pinheiros",3,17
2024-01-22 07:00:00,"Pinheiros",3,16
2024-01-22 08:00:00,"Pinheiros",2,7
2024-01-22 09:00:00,"Pinheiros",2,21
2024-01-22 10:00:00,"Pinheiros",1,52
2024-01-22 11:00:00,"Pinheiros",3,35
2024-01-22 12:00:00,"Pinheiros",1,53
2024-01-22 13:00:00,"Pinheiros",6,58
2024-01-22 14:00:00,"Pinheiros",5,50
2024-01-22 15:00:00,"Pinheiros",12,45
2024-01-22 16:00:00,"Pinheiros",8,45
2024-01-22 17:00:00,"Pinheiros",15,30
2024-01-22 18:00:00,"Pinheiros",3,19
2024-01-22 19:00:00,"Pinheiros",12,11
2024-01-22 20:00:00,"Pinheiros",4,20
2024-01-22 21:00:00,"Pinheiros",4,22
2024-01-22 22:00:00,"Pinheiros",4,20
2024-01-22 23:00:00,"Pinheiros",4,16
2024-01-23 00:00:00,"Pinheiros",1,17
2024-01-23 01:00:00,"Pinheiros",5,19
2024-01-23 02:00:00,"Pinheiros",8,26
2024-01-23 03:00:00,"Pinheiros",2,24
2024-01-23 04:00:00,"Pinheiros",5,21
2024-01-23 05:00:00,"Pinheiros",4,23
2024-01-23 06:00:00,"Pinheiros",2,15
2024-01-23 07:00:00,"Pinheiros",0,11
2024-01-23 08:00:00,"Pinheiros",0,7
2024-01-23 09:00:00,"Pinheiros",0,5
2024-01-23 10:00:00,"Pinheiros",6,6
2024-01-23 11:00:00,"Pinheiros",6,11
2024-01-23 12:00:00,"Pinheiros",8,10
2024-01-23 13:00:00,"Pinheiros",0,16
2024-01-23 14:00:00,"Pinheiros",4,9
2024-01-23 15:00:00,"Pinheiros",7,11
2024-01-23 16:00:00,"Pinheiros",1,18
2024-01-23 17:00:00,"Pinheiros",3,20
2024-01-23 18:00:00,"Pinheiros",6,12
2024-01-23 19:00:00,"Pinheiros",1,14
2024-01-23 20:00:00,"Pinheiros",5,18
2024-01-23 21:00:00,"Pinheiros",3,17
2024-01-23 22:00:00,"Pinheiros",2,16
2024-01-23 23:00:00,"Pinheiros",2,16
2024-01-24 00:00:00,"Pinheiros",0,12
2024-01-24 01:00:00,"Pinheiros",7,22
